title,date,content,verified_product,rating,product
pankaj,Reviewed in India on 10 August 2021,"One of the most beautiful Briefcase.
Inside You can put your 16-Inch mabook and iPad 11 inch very easily with case.
Overall quality is good.",Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Delzad Karani,Reviewed in India on 10 December 2021,Good build quality. But tough to clean tends to get dirty easily. Cleaning it with a cloth wont work need to brushed.,Verified Purchase,3,"Mokobara The Briefcase 15.6"" Laptop"
Amal George,Reviewed in India on 9 March 2022,Not a bad bag for professional but still better options are there at market,Verified Purchase,3,"Mokobara The Briefcase 15.6"" Laptop"
Amazon Customer,Reviewed in India on 10 February 2022,Nice bag . Nice look stuff quality also good . Lesser price would have made it more favourable.,Verified Purchase,4,"Mokobara The Briefcase 15.6"" Laptop"
Kaustubh,Reviewed in India on 12 January 2022,"Looks great, gives a premium feel and is very much for mid level and senior level professional
The inside pockets are made with yellow colored fabric which is ok but may have a different combination, but otherwise it's a super product",Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Tarun Kanade,Reviewed in India on 13 February 2022,"It is as per shown product..
Quality of vegan leather too good..
Stylish and comfortable..
Spacious inside for 1.56 inch normal laptop..
Must buy product..",Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Saurabh Bhalla,Reviewed in India on 6 December 2021,Good material and very different color combinations which build a distinct personality for the bag,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Anika,Reviewed in India on 27 April 2022,Impractical design very heavy weight and extremely uncomfortable return policy,Verified Purchase,1,"Mokobara The Briefcase 15.6"" Laptop"
dinesh gupta,Reviewed in India on 10 April 2022,Product is Not commensurate with high price,Verified Purchase,3,"Mokobara The Briefcase 15.6"" Laptop"
Soumya Das,Reviewed in India on 29 December 2021,Great build quality. Superb colors. It looks just like in the pictures. Premium materials. Safe bet.,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
rajeev kumar,Reviewed in India on 28 February 2022,Expensive,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Upasana Vora,Reviewed in India on 5 May 2022,There are many other premium bags availaible at half the price range of this . The stiching comming off is not expected,Verified Purchase,3,"Mokobara The Briefcase 15.6"" Laptop"
Manoj,Reviewed in India on 16 April 2022,Use it as office bag. It is good!,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Vijay,Reviewed in India on 19 December 2021,"Good product, but price is littile bit higher.",Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Bharatsinh vaghela,Reviewed in India on 13 May 2022, ⭐️⭐️⭐️⭐️⭐️,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Priyansh,Reviewed in India on 13 May 2022,Great product and very classy to carry,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Vivek,Reviewed in India on 26 January 2022,Mast hai,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
RIDHAM,Reviewed in India on 2 December 2021,Thanks,Verified Purchase,3,"Mokobara The Briefcase 15.6"" Laptop"
Savan patel,Reviewed in India on 21 March 2022,Class,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Richa Nevatia,Reviewed in India on 14 April 2022,"Eye catching but a tad uncomfortable.
Very well finished and there’s quality in detail. Very spacious with more than adequate pockets and holders. Feels luxe to touch. Could almost work as an overnighter. Waterproof definitely.
The only con is that the handle bites into the hand and the briefcase seems very heavy when carrying even though the bag itself is not heavy and even with just a 13” Mac and a notebook the bag seemed too heavy. The handles could be designed better to carry as well as distribute the weight.

Overall I love it. The yellow is what I chose and it makes a statement.!

Would like to know how to clean it though.. being a light colour the dust is making it dirty.",,5,"Mokobara The Briefcase 15.6"" Laptop"
shashwat agrawal,Reviewed in India on 27 September 2021,"Bag is awesome, quality is good. Not much spacious-a laptop (15.6 inch exactly fits) and a diary along with some gadgets, pens.
Look- 3 star
Quality- 5 star
Water resistant- 5 star
Space- 2 star
Price Worthiness(if greater than 6k)- 2 star",,4,"Mokobara The Briefcase 15.6"" Laptop"
Loom Solar,Reviewed in India on 20 October 2021,"Play Video
 Not good experience , using for last few days and now it looks like this so we should be careful",,1,"Mokobara The Briefcase 15.6"" Laptop"
Leela,Reviewed in India on 11 August 2021,"It's a sleek, elegant design. Really smart laptop bag, value for money. Liked it so much we bought a second one.",,5,"Mokobara The Briefcase 15.6"" Laptop"
Rajesh Grover,Reviewed in India on 18 April 2022,"Great value for money, classic colour combinations, very stylish and functional. Keeps the laptop and other things secure during travel. Very spacious.",,5,"Mokobara The Briefcase 15.6"" Laptop"
Ashwini Pokale,Reviewed in India on 7 October 2021,I’m happy 😊 Good product Quality & easy to work,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
Amazon Customer,Reviewed in India on 15 October 2021,Very well packed. Nice product and light weight.,Verified Purchase,5,"Mokobara The Briefcase 15.6"" Laptop"
