title,date,content,verified_product,rating,product
ANDISAMY C,Reviewed in India on 11 September 2021,"கேமரா வேஸ்ட் .தயவு செய்து பணத்தை வேஸ்ட் பன்னாதீங்க
போட்டோவை பாத்து ஏமாறாதீங்க",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
RATHOD VIRENDRASINH,Reviewed in India on 7 September 2021,"Play Video
 Bad results of camera it is accepted. But now camera not working. Vivo Y33s..... Please action to replace this peace / alternate immediately.
Thanks - 16/11/21",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Karthick,Reviewed in India on 30 August 2021,"Camera quality is good, while on the flash light camera performance is very slow. Light weight and compact phone. Black color is looks great. Phone sounds is also gently given. I like this phone...",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Amz Customer,Reviewed in India on 20 October 2021,"Vivo Y33s is my 4th Vivo mobile, n m utterly disappointed with it, all the useful features have been removed in this model. Within 1 week I've had touch screen issues, doesn't connect to WiFi or mobile internet, doesn't detect SD card, shows 128 GB storage, but doesn't save any files, worst of all is the front camera, images are not the best, I regret buying this mobile",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Nirmal,Reviewed in India on 3 October 2021,"This is a value for money product, massive data space , No Lag , performance , large and high resolution screen for price and charging speed and finish of product is very good as well been using it for for 1.5 months no deterioration in quality observed extremely statisfied by the product,",Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Vijay Shinde,Reviewed in India on 15 October 2021,"same supplier refuse me delivery in my pincoode 400703 location amazon no control on supplier
Lot of bugs in software difficult to configure Bluetooth with other device",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Amazon Customer,Reviewed in India on 23 September 2021,"TooPros- 1. Slim & sleek design
2. Better front camera
3.Good battery life, one day for your daily activity
4. Good sound quality - surround sound
Cons-
1. Needs more improvement in fast charging as only 18 watt fast charging given, can charge phone in 1.5 hrs
2.Needs quad camera as triple camera given in back side (picture quality in rear camera was not good)
3.Littlebit handy
4. Needs Amoled display at this price range as lcd display is given
5. Needs atleast 90 hz refresh rate as it supports only 60 hz",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Akhil,Reviewed in India on 13 September 2021,Camera is very bad worst,Verified Purchase,3,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
MH 24,Reviewed in India on 22 September 2021,"Best Camera, plz first settings camera always best performance
Battery backup best
Vivo always best",Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Bobby Naidu,Reviewed in India on 18 September 2021,Good 8gb ram varient at this price. Only draw back is the heating issue while gaming.,Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Abbas Shaikh,Reviewed in India on 7 December 2021,"All in all after using for one week, battery life is pretty good which was my priority.
Light weight.
Cameras both rear and front are good although I miss wide angle selfie option.
Ram usage is optimum.
Fast charging works well
Trusted brand like Vivo has done well.
Only thing I hated was the charger is not working since day one, maybe it's seller's fault or mixup. Otherwise it's good.",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Naquib,Reviewed in India on 22 December 2021,"Delivered fast as always. Camera quality is good as expected, need to adjust settings for better images. Battery life is good, though could have been better. Latest Android version makes things easier. Screen resolution is also good. Fast charging should have been better, heats up normally when charging or playing games. RAM size is amazing as must have at least 8GB nowadays. Didn't find any flaws or cons so far. Overall its a good feature phone under 20K.",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Leela,Reviewed in India on 23 August 2021,"Worst quality no incoming and out going calls fully failure model..fully network issue ,don't even buy...and waste money ..vivo is no more vivo ..",,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
s p singh,Reviewed in India on 26 October 2021,"Nice product, great camera, delightful experience overall but cost is little high",Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Ajay,Reviewed in India on 27 September 2021,At this price this is not worthy to buy bcz camera quality is not up to the mark campare to other brand at this range.,Verified Purchase,3,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
sachin b.,Reviewed in India on 30 December 2021,"I bought this phone recently . I am wiritng my feedback after using for 7 days. My main use for the phone is camera and normal usages.

Pro: Good camera in this price segment .
Light wieght and sleek design
good user interface

Con: No WoFI calling
No NFC
NO IR
LTE only Cat 6 supported which means highest downloading speed can be 300 Mbps. Compittiors phone have Cat 20 LTE supported in the same price segment.",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
anil kumar,Reviewed in India on 25 October 2021,"Respoding very slow , I cleaned memory too,don't buy for photography worst quality of photos ,",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Aijaz,Reviewed in India on 29 December 2021,"Defective mobile vivoy33s
delivered by Amazon which speaker is not working. Worst mobile deliver in 17990. I have wasted money. Worst Amazon. Not responded to me . I tried within 7 days to return this mobile . They did not responded. I also called customer care they are also not responded to this issue. They kept quite. I have wasted money It is with me in no use condition. Please trust me and don't buy from Amazon.",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
sai,Reviewed in India on 10 November 2021,"Utterly disappointed ,waste mobile ,it is not worth at this price . please don't buy it's my humble request to everyone",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
satyam,Reviewed in India on 12 December 2021,"Back side looks so beautiful . Midd day dream color is unique . Camera design makes this model premium in look.
Battery performance is good and enough for 2 to 3 days in normal use .
Only the bad thing is weight . This looks a bit heavy.",Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Ashok Panwar,Reviewed in India on 8 November 2021,इस फोन में फास्ट चार्ज कि सुविधा नहीं ओर चार्जर खराब हो जाता है मेरे दो फोन था दोनो का खराब हो गया,Verified Purchase,3,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Prathap reddy,Reviewed in India on 23 September 2021,I bought this before 2weeks upto now it's working very fine battery backup and working very fine nice phone,Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Hanif Bokda,Reviewed in India on 23 November 2021,price slidely high... otherwise very good product,Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Amazon Customer,Reviewed in India on 3 January 2022,"For some reason getting ads all the time.
Vivo native apps can't be disabled. It has all kinds of wrong practices. I regret buying this phone for my father",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Mukesh,Reviewed in India on 17 September 2021,Its display quality is very poor.,Verified Purchase,2,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Pavan,Reviewed in India on 3 October 2021,Camera clarity very poor,Verified Purchase,2,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Parth Singh,Reviewed in India on 3 October 2021,Phone hangs within 8 days of purchase I haven't loaded data yet . It is the worst phone ever I want refund .,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Nafees Roshan,Reviewed in India on 7 November 2021,Not upto expectations... Battery charger is not so good taking longer time to get fully charged almost one and half hours.. it's only 18 w charger. Very disappointed..,Verified Purchase,2,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Leela,Reviewed in India on 26 January 2022,"It started problem right after the return date
1) the volume gets stuck on a certain lvl and even if I increase or decrease it doesn't change
2)icon tapping sound keeps on making tapping notices even if ur not tapping anything even if it's in sleep mode",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
MUKESH KUMAR,Reviewed in India on 20 October 2021,Phone is Heating and battery draining rapidily. Camera quality is very poor.,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Baskaran,Reviewed in India on 7 December 2021,"i have received only mobile, but i dit not get joy stick.",Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
shankar,Reviewed in India on 11 September 2021,i like this product,Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Sarfuddin khan,Reviewed in India on 5 January 2022,Wifi doesn't work smoothly.. in other basic phone wifi works so fine. Ringing time also doesn't ring properly. In headphone it doesn't ring,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Rajarajan A,Reviewed in India on 3 December 2021,Nice mobile want use now if I have any issues surely updated,Verified Purchase,4,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
ugandhar,Reviewed in India on 7 December 2021,"Play store app is not working, unable to download any other apps ,apart from apps available in the mobile",Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Poongundran,Reviewed in India on 8 December 2021,Only 1 month I used this product next month this product fully hang I'm not install any game,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Navin kochar,Reviewed in India on 16 December 2021,Please don't buy this phone.its waste of money.sound is not coming properly and camera is also waste,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
P.G. Kulkarni,Reviewed in India on 5 March 2022,Superb features. Value for money.,Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Purchaser,Reviewed in India on 28 January 2022,You get extra for what you pay. Cannot ask for more under this price.,Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Roopas,Reviewed in India on 20 October 2021,"It's not value for money, waste for gaming , light weight ok , fingerprint sensor doesn't work properly",Verified Purchase,2,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Rajiv kohli,Reviewed in India on 1 December 2021,"Good phone
Decent gaming
Nice battery life
Good 4am management
Camera is also great
Overall decent phone at this price",Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Sandeep88,Reviewed in India on 6 November 2021,Camera quality not good comparing other vivo mobile same prize veriyent,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Bhammar Raghubhai,Reviewed in India on 13 December 2021," very good looking and light weight...
but call recording system is very bad. i hop next update in do problem solw ..",Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Samsuddin,Reviewed in India on 14 December 2021,Phone is very slow working,Verified Purchase,1,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
Saivenki,Reviewed in India on 17 January 2022,Wonderful,Verified Purchase,5,"Vivo Y33s (Mirror Black, 8GB RAM, 128GB Storage)"
