title,date,content,verified_product,rating,product
Karthick,Reviewed in India on 30 August 2021,"Camera quality is good, while on the flash light camera performance is very slow. Light weight and compact phone. Black color is looks great. Phone sounds is also gently given. I like this phone...",Verified Purchase,4,Vivo_Y33
Vijay Shinde,Reviewed in India on 15 October 2021,"same supplier refuse me delivery in my pincoode 400703 location amazon no control on supplier
Lot of bugs in software difficult to configure Bluetooth with other device",Verified Purchase,1,Vivo_Y33
Nirmal,Reviewed in India on 3 October 2021,"This is a value for money product, massive data space , No Lag , performance , large and high resolution screen for price and charging speed and finish of product is very good as well been using it for for 1.5 months no deterioration in quality observed extremely statisfied by the product,",Verified Purchase,5,Vivo_Y33
Abbas Shaikh,Reviewed in India on 7 December 2021,"All in all after using for one week, battery life is pretty good which was my priority.
Light weight.
Cameras both rear and front are good although I miss wide angle selfie option.
Ram usage is optimum.
Fast charging works well
Trusted brand like Vivo has done well.
Only thing I hated was the charger is not working since day one, maybe it's seller's fault or mixup. Otherwise it's good.",Verified Purchase,4,Vivo_Y33
s p singh,Reviewed in India on 26 October 2021,"Nice product, great camera, delightful experience overall but cost is little high",Verified Purchase,5,Vivo_Y33
Ajay,Reviewed in India on 27 September 2021,At this price this is not worthy to buy bcz camera quality is not up to the mark campare to other brand at this range.,Verified Purchase,3,Vivo_Y33
sachin b.,Reviewed in India on 30 December 2021,"I bought this phone recently . I am wiritng my feedback after using for 7 days. My main use for the phone is camera and normal usages.

Pro: Good camera in this price segment .
Light wieght and sleek design
good user interface

Con: No WoFI calling
No NFC
NO IR
LTE only Cat 6 supported which means highest downloading speed can be 300 Mbps. Compittiors phone have Cat 20 LTE supported in the same price segment.",Verified Purchase,4,Vivo_Y33
anil kumar,Reviewed in India on 25 October 2021,"Respoding very slow , I cleaned memory too,don't buy for photography worst quality of photos ,",Verified Purchase,1,Vivo_Y33
Amazon Customer,Reviewed in India on 3 January 2022,"For some reason getting ads all the time.
Vivo native apps can't be disabled. It has all kinds of wrong practices. I regret buying this phone for my father",Verified Purchase,1,Vivo_Y33
Leela,Reviewed in India on 26 January 2022,"It started problem right after the return date
1) the volume gets stuck on a certain lvl and even if I increase or decrease it doesn't change
2)icon tapping sound keeps on making tapping notices even if ur not tapping anything even if it's in sleep mode",Verified Purchase,1,Vivo_Y33
Pavan,Reviewed in India on 3 October 2021,Camera clarity very poor,Verified Purchase,2,Vivo_Y33
Poongundran,Reviewed in India on 8 December 2021,Only 1 month I used this product next month this product fully hang I'm not install any game,Verified Purchase,1,Vivo_Y33
Mohd Arif khan balrampur UP,Reviewed in India on 10 April 2022,Finger print very good work battery life good 30min only full charge,Verified Purchase,5,Vivo_Y33
Rajiv kohli,Reviewed in India on 1 December 2021,"Good phone
Decent gaming
Nice battery life
Good 4am management
Camera is also great
Overall decent phone at this price",Verified Purchase,5,Vivo_Y33
Bhammar Raghubhai,Reviewed in India on 13 December 2021," very good looking and light weight...
but call recording system is very bad. i hop next update in do problem solw ..",Verified Purchase,5,Vivo_Y33
SATYANARAYAN PRADHAN,Reviewed in India on 26 March 2022,Duplicate,Verified Purchase,1,Vivo_Y33
Saivenki,Reviewed in India on 17 January 2022,Wonderful,Verified Purchase,5,Vivo_Y33
Sandeep88,Reviewed in India on 6 November 2021,Camera quality not good comparing other vivo mobile same prize veriyent,Verified Purchase,1,Vivo_Y33
Shuvo,Reviewed in India on 3 February 2022,Better than redmi...,Verified Purchase,5,Vivo_Y33
josephraj,Reviewed in India on 10 February 2022,Superb product,Verified Purchase,5,Vivo_Y33
Sridhar,Reviewed in India on 9 February 2022,Warest phone. I purchased just three months ago. Micro phone no work. new mobile three months k repair vachindi worest phone,Verified Purchase,2,Vivo_Y33
Pooranchandra Rajput,Reviewed in India on 1 February 2022,Camera quality is not cristal clear. As I expected 😴,Verified Purchase,3,Vivo_Y33
prabhakar m,Reviewed in India on 18 December 2021,"Don't buy this my old Vivo battery, sound and display is better than this... Wast of money",Verified Purchase,1,Vivo_Y33
