title,date,content,verified_product,rating,product
Kavya Gupta,Reviewed in India on 24 September 2021,This product is duplicate of iPhone 12 only camera design changed. Very low quality of this product Buy Samsung mobile phone,,1,Iphone13
karthik,Reviewed in India on 24 September 2021,"You should be a bigggggg bot to buy this phone
You could get iPhone 12 Pro that’s the best 😂",,1,Iphone13
Kritika Mishra,Reviewed in India on 27 September 2021,"There was a hairline scratch on the screen which is not clearly visible directly. When we tried contacting Amazon for the replacement, they asked us to connect to apple and when connected to apple, they asked to connect with Amazon. Blame game begins and we end up paying the price. Awfull service. I am going to tag on the social media both Amazon and apple. Such a big scam",Verified Purchase,1,Iphone13
Aamish,Reviewed in India on 25 September 2021,"Just but iphone 12!
It’s not worth the money!
Unless ur from BJP or something where you’re full with corrupt money, then go ahead.",,1,Iphone13
Saksham mehta,Reviewed in India on 25 September 2021,i am poor and i cant afford it lmao xdxdxdxdxd so if you have money to flex buy it i am bored thats why i am writing this review while drinking coffee i have my chemistry exam on manday and cant study mole concept and got bored thats why i came here to write this review if you read this review til here very good you justt wasted your time now go and do something productive :),,1,Iphone13
Vijay laxmi pandey,Reviewed in India on 25 September 2021,I do not have money that I can get a phone but I have a dream to get a phone which will definitely be fulfilled one day,,5,Iphone13
BiFrozT,Reviewed in India on 6 February 2022,"My honest review after going broke buying this depreciating object.
I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!
I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.

iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.

I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.

Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.
I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.

You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.

Speakers are Great.

Battery life is better than my previous devices,
iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.
NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.

For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.

But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.
Truly worth it.",Verified Purchase,5,Iphone13
Vikas K.,Reviewed in India on 6 March 2022," I switched from Android to IOS.
There are so many things you can not do on iphone.
If you want a phone which have good looks and phone doesn’t do anything else then you can buy iphone.
Battery life is fine.
Charging speed is also fine.
Camera quality is also fine but some of android phones with this range have better camera quality than this one.",Verified Purchase,1,Iphone13
Jimmy khan,Reviewed in India on 25 September 2021,Same as I phone 12 😑. Who so ever is reading this review I suggest go for I phone 12,,3,Iphone13
Raghav enterprise,Reviewed in India on 4 December 2021, iPhone is so good but My phone is four times hang so I am facing some difficulties please Solve problems,Verified Purchase,5,Iphone13
