title,date,content,verified_product,rating,product
Puneeth,Reviewed in India on 25 January 2022,"First I had a problem with activating MS Office 2021. I called Lenovo support. They could not fix it and asked me to contact Microsoft support which I could never reach.

Second, after couple of days the microphone stopped working. That's when I requested for replacement. Since they are out of stock for this model, they are refunding the money.",Verified Purchase,3,Lenovo IdeaPad 3 11th Gen 
Amazon Customer,Reviewed in India on 20 January 2022,"Well, this could have been a great deal if the display was a touch better. No complaints otherwise. For the price you are getting a very good processor, memory and storage - 512SSD (Dell doesn't offer this with their i311. Toshiba does have it, but their processor is inferior). Overall, this is the best laptop you can get for the price, if you are not too picky on the display. The display is decent for most home use, but you can see the flaw for example when attending a Teams meeting with a high quality image displayed.",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
ALOKE BISWAS,Reviewed in India on 14 January 2022,purchesed on 13 jan 2022 most budget friendly product.looking very premium and also working great at this price range.,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Neeraj,Reviewed in India on 17 January 2022,"Amazing product from Lenovo...this laptop comes with tremendous configuration....all those specifications which I am looking for , within my budget has fulfilled by this model .... thank you Amazon 🙏🙏",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Shalabh Sharma,Reviewed in India on 16 February 2022,"If u have a strict budget nd looking for something premium + latest features then this laptop is for you
Amazing build quality gives premium look
Battery life is also great... For normal usage 5-6 hours and for heavy use 3-4 hours
Screen quality can be improved
Best is the features i3+512ssd+win11+microsoft apps with lifetime validity
Overall amazing laptop under 45k",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Mritunjay Kumar,Reviewed in India on 14 January 2022,"It's not playing 4k video
Charging adaptor is heated
Battery is average 3 to 4 hours
It's looking attractive
Battery is changed 80% in 1 hours but 80-100 it's takes a time approximately 1 hours",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
BRAJBHUSHAN,Reviewed in India on 18 January 2022,"booting time is crazy , best for students , good ram with 3200MH , this laptop really smooth , light and compact , just buy it / note - writting this review after 7 day use",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Prithveeraj Tiwari,Reviewed in India on 12 April 2022," This is best broduct at this price range
4-5 hours battery backup
It is better for bussiness personal and office
Don't worry
Buy this product fearlessly",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Vineet,Reviewed in India on 19 March 2022,"Is a good looking laptop that I purchased for my college-going kid. Has quick start-up and shut-down, thanks to the SSD. Comes with Windows 10 and MS Office. Good anti-glare screen and camera. Absolutely no complaints. Thank you Lenovo and Amazon.",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Abhishek Ajit Bhingarde,Reviewed in India on 17 February 2022,Nice at this price tag .... Laptop is Excellent and the texture of its body looks amazing.... Build quality is nice ..... Hardware and softwares work Amazingly hand in hand ... Just one problem : screen shakes if a slight push is applied to the table on which the laptop is placed. Otherwise a perfect buy for engineers and other students !,Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Amazon Customer,Reviewed in India on 14 April 2022,Its been just 2 months since I purchased the laptop and the battery backup is terrible. It takes 3.5 hrs to fully charge and drains out in just 2 hrs. Its slow and pathetic. Very disappointed with this Lenovo product. Do not but this product.,Verified Purchase,1,Lenovo IdeaPad 3 11th Gen 
SHAKEEL AHMED,Reviewed in India on 3 April 2022,"Though Lenovo products r gud but on heavier side. This model busts the myth. Antiglare screen may seem to be of poor colors reproduction quality, but worth for your eye comfort.
Best part I liked it is their onsite service during ur warranty (may be extended also) period.",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
HemantKumar S.,Reviewed in India on 2 April 2022,Been using for 10 days and it seems really good has 2-3 sec bootup time which I have not seen so far. The screen panel doesn't feel metallic it's material isn't that strong. Battery isn't working for the hours provided as per specs works max 5 hours. Bought for normal official work which gives good backup. Works smoothly between interfaces. Design looks premium very less bezels. Can go for it.,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Ashish,Reviewed in India on 12 March 2022,"Good build quality, processor & operating system is fast & smooth for normal office & home use..display quality is ok not feels like FHD",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Amazon Customer,Reviewed in India on 10 February 2022,"Excellent performance, nice look and feel and really light on weight and pocket, go for it!!",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Shubham s.,Reviewed in India on 17 April 2022,"This is a good product, but
Abhi liye 3 din bhi nhi hua aur 2 bar hang kar chuka hai ..
Pahli bar jab Google crom download kiya,
Dusari bar kuch document bna kar save kar rha tha tb ..
Aur sab to thik hi lag rha hai .. ab dekho jyada din tak rhe tb n",Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Jawid,Reviewed in India on 15 January 2022,"Today I have received my Laptop today. Look is awesome, good Memory space. A good laptop in this price range. Just go for it!!!!!",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Vikram patil,Reviewed in India on 6 April 2022,I am giving a review after using one month the product is good but the issue is that when I open the laptop that time only Laptop is starting without pressing the button automatically it's starting otherwise the laptop is too good...,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
ranjeet kumar,Reviewed in India on 15 February 2022," Everything in this laptop....Superb👌👌👌👌
Excellent and fantastic laptop at this prize range...Under 41k....
Love u Amazon and lenovo....",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Vijay khanna,Reviewed in India on 29 January 2022, Not received any warranty card with laptop,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Dattatraya Shinde,Reviewed in India on 8 February 2022,"So far .. so good.. Fast boot speed, good screen.
Very fast file access due to SSD..
Highly recommended..",Verified Purchase,5,Lenovo IdeaPad 3 11th Gen 
Shubham kohli,Reviewed in India on 22 January 2022,Overall its a good laptop. You get what you have paid for. Wish it had a long battery backup !,Verified Purchase,3,Lenovo IdeaPad 3 11th Gen 
Amazon Customer,Reviewed in India on 16 February 2022,Worth the money.,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
Arun Kumar Shukla,Reviewed in India on 9 February 2022,Its good to use with latest OS windows 11. You just need to open lid to start it. Battery life of 4-5 hours. Good speed.,Verified Purchase,4,Lenovo IdeaPad 3 11th Gen 
