title,date,content,verified_product,rating,product,sentence_wise_sentiment,review_sentiment,review_subjectivity,sentence_count,sentiment
Piyush Singh,Reviewed in India on 25 October 2021,"dont'buy this laptop, there is no backlit keyboard. If u ask them they will blame dell and dell people will blame amazon. The laptop is defective one and product was already registered on someone else name on17th sept, although i ordered it on 2nd oct. Its is a big scam, nothing is working in laptop",Verified Purchase,1,Dell New Vostro 3400 Laptop,"[0.0, 0.0, 0.0]",0.0,0.016666666666666666,55,nuetral
K,Reviewed in India on 19 March 2022,"I was Using Dell Inspiron 15R 5520, for last more than 8 years and It was very good and Durable Laptop, As it was somewhat slow for my Usage Requirement, I replaced it with This Laptop, And In two Months Laptop Speakers Stop Working and Laptop Heating Problem, So Logged Complaint, Speaker and Fan Replaced, After Replacement also Speakers not working so Technician Found it is motherBoard Problem, so Mother Board will be replaced,

In Short Dell Build and Manufacturing Quality has deteriorated over time.",Verified Purchase,1,Dell New Vostro 3400 Laptop,[0.13499999999999998],0.13499999999999998,0.3744444444444444,85,positive
Amazon Customer,Reviewed in India on 22 October 2021,I had a very bad experience purchasing this laptop. It had sound issue and screen flickering issue. I will not recommend this product to anyone.,Verified Purchase,1,Dell New Vostro 3400 Laptop,"[-0.9099999999999998, 0.4, 0.0]",-0.16999999999999993,0.4222222222222222,25,negative
Rupa Kar,Reviewed in India on 16 December 2021,Bought a Dell Vostro 3400 on 2nd Nov 2001 from Amazon! In a couple of weeks had Audio/Speaker/Microphone issues. Lodged a service request on 25th Nov 2021 with Dell Technical Support and still today i.e 16th Dec 2021 my issues remained unresolved !! Amazon couldn't give any support in this regard. A photo of 29th Nov is attached. Don't buy Dell laptops as they have horrible after sales service !!,Verified Purchase,1,Dell New Vostro 3400 Laptop,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0]",-0.14285714285714285,0.15714285714285717,70,negative
Madhusudhan,Reviewed in India on 4 March 2022,"I faced audio issues. Liaising with Dell technical support for last one month. Still not resolved. 3 times hardware has been changed but the issues is not resolved. The support works 9 to 6 Monday to Friday. You need make time for them. Numerous calls, but issue is not resolves. You would buy a dell laptop if you have committed a sin in your previous life.",Verified Purchase,2,Dell New Vostro 3400 Laptop,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16666666666666666]",-0.020833333333333332,0.09375,66,negative
Nived,Reviewed in India on 24 December 2021,Waste product. Starts complaint within one week. Amazon replaced the product and new product also full of complaints. Irresponsible customer service. They never solve your problem. Complaint coming in each weeks. Waste of money. Go for other companies. Don't buy Dell products. Rating:0,Verified Purchase,1,Dell New Vostro 3400 Laptop,"[-0.2, -0.3, 0.24318181818181817, 0.0, 0.0, -0.3, -0.2, -0.125, 0.0, 0.0]",-0.08818181818181818,0.12772727272727274,43,negative
Amit Shukla,Reviewed in India on 19 April 2022,"Don't buy this product, it will suck your blood. It gets switched off everytime u will use and DELL TECHINICIANS keeps on giving you churan by install is, motherboard change bla bla, u wate your money, time and energy , all this starts after expiry of return period which is only 7 days. BEWARE FRIENDS DONT BUY THIS AT ANY COST.",Verified Purchase,1,Dell New Vostro 3400 Laptop,"[0.0, 0.0, 0.0]",0.0,0.3333333333333333,61,nuetral
Srikanth konijeti,Reviewed in India on 17 December 2021,"Product having sound issues, service is no much delay , pls don't buy , Amazon also not care , just after two months of bought this laptop , slowly device start not working",Verified Purchase,1,Dell New Vostro 3400 Laptop,[0.0],0.0,0.3333333333333333,33,nuetral
Amazon Customer,Reviewed in India on 12 December 2021,Performance is good but no backlit. Seller isn't honest about it. I don't understand how this product is supported as official product actually has backlit for this model.,Verified Purchase,1,Dell New Vostro 3400 Laptop,"[0.7, 0.6, 0.0]",0.4333333333333333,0.5333333333333333,28,positive
Nagesh A.,Reviewed in India on 13 January 2022,"The camera and Microphone don’t work , going around Dell service centres , but even they don’t know what to do . Stuck now as had bought it for children classes on Google meet etc",Verified Purchase,1,Dell New Vostro 3400 Laptop,"[0.0, 0.0]",0.0,0.0,35,nuetral
praveen,Reviewed in India on 23 December 2021,In the description it is given this product have backlight feature but this product don't have this feature please don't blame customers by putting false information,Verified Purchase,3,Dell New Vostro 3400 Laptop,[-0.4000000000000001],-0.4000000000000001,0.6,26,negative
Sayeed Ahmed,Reviewed in India on 25 December 2021,"Body made up of plastic, hence looks like cheap.however everything else about laptop is awesome.",Verified Purchase,5,Dell New Vostro 3400 Laptop,[1.0],1.0,1.0,15,positive
robin,Reviewed in India on 20 February 2022,Laptop is good but some of the things not there like backlit typec port to transfer photos from mobile to laptop,Verified Purchase,4,Dell New Vostro 3400 Laptop,[0.7],0.7,0.6000000000000001,21,positive
James,Reviewed in India on 2 March 2022,The upgrade to windows 11 is terrible on this system! it keeps switching off when it is on sleep.,Verified Purchase,3,Dell New Vostro 3400 Laptop,"[-1.0, 0.0]",-0.5,0.5,19,negative
purva,Reviewed in India on 24 December 2021,Absolutely great product. Using this from last 4 months,Verified Purchase,5,Dell New Vostro 3400 Laptop,"[0.8, 0.0]",0.4,0.4083333333333333,9,positive
vedavyas,Reviewed in India on 9 May 2022,bad,Verified Purchase,1,Dell New Vostro 3400 Laptop,[-0.6999999999999998],-0.6999999999999998,0.6666666666666666,1,negative
Jayatheerth,Reviewed in India on 5 February 2022,keyboard background light not there,Verified Purchase,5,Dell New Vostro 3400 Laptop,[0.4],0.4,0.7,5,positive
Suresh K.,Reviewed in India on 15 December 2021,Latest modle,Verified Purchase,5,Dell New Vostro 3400 Laptop,[0.5],0.5,0.9,2,positive
Amazon Customer,Reviewed in India on 12 November 2021,"Faced issue with speaker within 10 days of purchase. Company changed speaker, followed by motherboard, still issue remains unsolved. Worst post sales services.",,1,Dell New Vostro 3400 Laptop,"[0.0, 0.0, -1.0]",-0.3333333333333333,0.3333333333333333,23,negative
Amit Anand,Reviewed in India on 8 November 2021,Pros- Overall good product. Cons: should have keypad backlight option. Slightly overpriced ( i bought for 55K),Verified Purchase,4,Dell New Vostro 3400 Laptop,"[0.35, 0.0, -0.16666666666666666]",0.06111111111111111,0.15555555555555556,17,positive
Logan,Reviewed in India on 12 November 2021,Good,Verified Purchase,4,Dell New Vostro 3400 Laptop,[0.7],0.7,0.6000000000000001,1,positive
